text,label
 sebastian vettels   pole position  is his  th career pole nd for ferrari st at sochi st in  st,1
   quali full daniils comment on  ,1
 exiting the pits in style  vettel f ,1
can  fight back tomorrow and take the win from p ,1
 top  posing for the cameras after the qualifying   kimi seb bottas  ,1
  so far so sochi catch up on quali     f  ,1
 provisional classification  ice man on top in sunny sochi   p and p for finland    fp ,1
 dedicating this race weekend to billy billywhizz   ,1
we believe in moving the sport forward  carey  ,1
 what a qualifying weve got ourselves an f competition fonnbc  excited for a great race  ,1
 a good friday for ferrari but sebastian vettel isnt taking anything for granted gtgt    f http,1
ejs mclaren predictions  ,1
congratulations to  and  for moving on from  qualifying round goodluck ,1
things change but im still here  hulkenberg  ,1
 f    doesnt make excuses he makes adjustments watch this space,1
commiserations to lewishamilton in f q quali  sochi lowest grid position since last summer wait ,1
f   sochi qualifying session q ,1
 max verstappen and daniel ricciardo arriving to the circuit this morning   f dr mv ,1
 fp report ferrari onetwo keeps pressure on mercedes gtgt    f ,1
scuderia ferrari locks first row at russian grand prix   by lilbatureiii via ,1
  an all  front row  ,1
 memories of  forzajules neverforget  jbforever  ,1
 missed fp catch up here     f ,1
 spy the smaller felipe inside felipe is actually felipe  rbspy  ,1
 tomorrow tyre choices   ,1
ferrari after qualifying  ,1
 last ferrari frontrow lock out  french gp  rai mas   what chance today  quali coming up in  mins     f,1
 join us in the km paddock for the  tomorrow amp lets talk scuderiaferraris race strategy gt ,1
  rbwall all the best  for the  keep smiling  ,1
 loving the battle between  amp  tgis year cant wait for  tomorrow f,1
loving the battle between  amp  tgis year cant wait for  tomorrow f,1
the latest the danny mumbere daily  thanks to  f ,1
 good sunny morning from    forzaferrari ,1
see the  quali highlights here ,1
 of course a repeat in tomorrows  is highly unlikely f,1
 thats the chequered flag for q fernando ends the session in p  ,1
 two happy guys and one iceman   kimi  ,1
 formularacing  qualifying race results sebastian vettel takes pole position quali f fsochi  ,1
formularacing  qualifying race results sebastian vettel takes pole position quali f fsochi  ,1
ferrari front row lockout for  reddit vettel putting as much distance as possible between him and kvyat,1
 sebastian vettel on top and on pole as ferrari topple mercedes in  qualy   skyf ,1
 russian doll of lewis hamilton    f lh ,1
  provisional grid for the  f       front row  vettel  raikkonen     nd row  bottas ,1
  sebastian vettel for now we are full of joy were very happy that were back     f seb ,1
 rd row  ricciardo  massa     th row  verstappen  hulkenberg      f,1
 th row  perez  ocon     th row  stroll  kvyat     th row  magnussen  sainz     f,1
 ferrari onetwo how long have we had to wait for that stunning qualifying from ferrari  russiagp f for,1
  have second row locked out exciting  ahead ,1
   not only it looks good the checovjm pairing is quick another q for him  pinkpanthers ,1
 seb i am over the moon big thanks to the team  quali,1
top story  row  vettel raikkonen row  bottas hamilton     see more ,1
 the babushka dolls predicted the result of qualifyingcan you spot   ,1
 walking off into the sunset  see you tomorrow sochi  redbullfamily  f  ,1
 vettel admits he was unsure whether ferraris pace advantage over mercedes would last in  qualifying f ,1
ferrari onetwo how long have we had to wait for that stunning qualifying from ferrari  russiagp f formula ferrari,1
the one where  blends friends and  ,1
 check out here the official qualifying classification of the f    gtgt  ,1
cant wait to see the race  ,1
 its pole position for sebastian vettel at the  qualifying    amazing lap from seb   seb f,1
the latest the faazab daily  thanks to     uae,1
yes yes yes yeeeeees  f ,1
lewis hamilton hopeful mercedes  victory chance not gone    skyf ,1
 congrats  for the front row start in  f make it a  finish too good luck,1
congrats  for the front row start in  f make it a  finish too good luck,1
driver reaction roundup who said what following qualifying for the    f ,1
everyone knows im a hamilton fan but to see ferrari back up there is so good as an f fan i love it ferrarif ,1
  finishes the qualifying in p well done  nh f  ,1
rt   catch up on the  quali recap review and report at  f ,1
 suited and booted lets do this    f  ,1
the latest sanewsmonitor twicedaily  beautifulnews ,1
 fernando alonso says mclarenhonda is giving away slap to rivals along sochis straights  f ,1
 q down one more to go  max currently p with a  and daniel p with a    f ,1
f  sun race pm cet msportxtra,1
that meal comes with free garlic bread with cheese would you like it with your order  ,1
 today was a lot better p becomes pwith the penalty but at least we extracted the maximum  russia  so,1
 enjoy the weekend of fitf speed   ,1
vamos  hope to see you finish higher in points d  ,1
 oh i didnt tweet about it at the time but wooo ferrari  f ,1
oh i didnt tweet about it at the time but wooo ferrari  f ,1
 sebastian vettel with maurizio arrivabene after qualifying     f seb ,1
 inspector seb  is always in action even when getting the pole position     f vettel seb ,1
 the fitf sets still in play for tomorrows     infographic ,1
your qualifying report is online now   formula  qualifying f ,1
 here at turn  theyre pretty equal but again ferrari looks capable to cut in a little bit more   seb http,1
raikkonen frustrated by q traffic after narrow pole miss f   ,1
 russian grand prix qualifying highlights  f ,1
  seb takes pole position for the   vet  rai bot ham ric  ,1
another shot of turn   seb ,1
it seems the expected  engine update for canada is delayed these boys wont be happy about that ,1
 close fight with the red cars in  qualifying  p for vb amp p for lh finely poised for tomorrows rac,1
 fa clocks a  and will start p on the grid also out of q goes sai str kvy and mag  ,1
here at turn  theyre pretty equal but again ferrari looks capable to cut in a little bit more   seb ,1
 kimi is flying through the track   fp ,1
 little known fact nico has his own grid lady that announces him everywhere he goes  fakeffact  ,1
 half way through q  back on track and lapping on the ultrasofts f  ,1
    arrivabene im very satisfied but we need to stay calm it was a great quali but the race is tomorrow,1
 live postqualifying debrief with toto wolff   watch    f ,1
 fernando heads out for his first q run  ,1
 f s sebastian vettel claims pole position of the  ,1
 russian gp gallery   fernandoalonso f fa     ,1
 lh i just wasnt quick enough today it was all in the last sector i was losing half a second there ,1
 spy phil and big nige prepare for fp with their traditional step aerobics  rbspy  ,1
 chequered flag fernando p and through to q  stoffel crosses the line in  and is out p  ,1
look at this turn  ferrari is sensibly closer to the apex and the kerb making it easier for seb to cut in amp ,1
check out our saturday gallery from sochi   ,1
 back to the garage for a quick tyre change and a topup of fuel quali  ,1
    hell start p tomorrow those ferraris better watch out     f quali ,1
 all set for the f  really enjoy driving this track   vb  ,1
 just over  minutes into the session amp the boys are settling into their quali laps both on ultrasofts  ,1
 mistake in final corner  shows how fast and close this game is   quali ,1
 its quali time at the   track temp the drivers are primed and ready to get q underway ,1
 pole position for vet    follow all the stats amp strategy in the   tomorrow   see you there  ,1
     big day tomorrow  sleep well to be ready for fight   f,1
the latest  daily  thanks to  ,1
 sochi quali is go the boys get suited and booted and go straight out with the green light  ,1
  and seb if kimi overtakes you please do not crash out into him  ,1
 bot all weekend ferrari have had the upper hand but sunday is always the day that counts quali   f ,1
 w vb      steve etherington ,1
 qualifying moments   fsochi ,1
 we are inviting our little guests to the free playground at the main grandstand   fsochi sochiautodrom htt,1
 hey  how is it pazzidellavodka  ,1
until kickoffs daily digest is out   f,1
 teds qualifying notebook  ,1
   better not make dumb strategy for kimi because he can easily match ,1
superb quali for ferrari great drive in q when it mattered  hope rai can stick to p in the race   redseason ,1
a problem understood is a problem ready to be solved teamlh f quali  ,1
signing off from  on saturday   two sleepy silverarrows tucked up for the night   tomorrow we go ,1
 daniel ricciardo at the end of q    f dr redbull ,1
 ready for some f its quali day    f  ,1
the latest the burningdownthekitchen daily  thanks to    f,1
 the tale of the tape between vettel and hamilton skysportsf  ,1
f  rikknen about quali car feels good but i would wish a different result ,1
 whats the weather doing quali   f ,1
 ready for the  grand prix in russia good luck to  and  at the sochi autodrom,1
 here are instead reactions from the garage  forzaferrari  ,1
stopwatch motorsport is out  stories from   skyf,1
when vb is quicker than hamiltonf  ,1
 fp is go  forzaferrari ,1
    ferrari broke curfew last night this is the first of the two exceptions permitted no penalty ,1
 vettel were full of joy very happy  and well try to take the momentum into the race  f ,1
vettel were full of joy very happy  and well try to take the momentum into the race  f ,1
how about alonso to renault replacing palmer such a waste performance from a good reability car on the grid ,1
 all the best to seb and kimi for the   is well poised for a  finish tomorrow forzaferrari,1
all the best to seb and kimi for the   is well poised for a  finish tomorrow forzaferrari,1
 our top three starters for the    skyf ,1
 finally the prancing horse has claimed the front row forzaferrari forzavettel forzakimi  f  ,1
finally the prancing horse has claimed the front row forzaferrari forzavettel forzakimi  f  ,1
 even though sebastian vettel has taken pole position russian media are reporting putin took it by s   f http,1
 the car was completely different from yesterday we worked towards it but it generally got worse ,1
 the goodtimes has now moved to russia this weekend and were all set to cheer  on  ,1
 pit to fernando box now stay right of line and with that fernando heads back to the garage  ,1
 less than  hours to go   go scuderia ferrari formula,1
less than  hours to go   go scuderia ferrari formula,1
  russian grand prix qualifying and final practice in pictures f   ,1
 double fireup time fernando and stoff go track bound in quick succession fp   ,1
 ferrari lockout the front row in qualifying in the  and its the first ferrari pole since singapore  ,1
we could have a stunner in sochi tomorrow a first ferrari front row lockout for nearly  years ,1
 im so excited for tomorrows grand prix its bloody brilliant seeing seb get pole  f ,1
im so excited for tomorrows grand prix its bloody brilliant seeing seb get pole  f ,1
 ready for action  keeppushing   f ,1
pirellisport  enjoy the weekend of fitf speed      e,1
 a planned break in running for both fernando and stoff as the crews run through their checks  fp ,1
 the russian national curling team has a new recruit get sweeping  f  ,1
 five of these six drivers will hope this stat changes today   fp starts in one hour then we move on to  qualifying,1
    takes evasive action during fp   f ,1
qualifying for f is another peace of work  disappointed  pointsintherace keeppushing,1
terminate le quali del    seb   kimi   by francescacheeks v ,1
tommorrow  redbullfamily maxverstappen     ,1
 final timing screen for fp at the  ,1
 ferrari one two after so fucking long yaaaaaas forzaferrari ,1
ferrari one two after so fucking long yaaaaaas forzaferrari ,1
enjoy the weekend of fitf speed   ,1
 here comes more f drama  dont miss it use our  qualifying start time guide   ,1
the reds taking over that first row wow go seb go kimi excited for tomorrow hope everyone will have a great race ,1
itll be interesting to see what  does tomorrow with strategy will they put lh in front again  ,1
   qualifying quotes   sebastian vettel the car was phenomenal     seb f ,1
saturday fp qualification  formula f sochiautodrom  lewishamilton ,1
a tremendous job by ferrari to lock out the front row of the russian grand prix  scuderiaferrari,1
f pole for vettel and ferrari onetwo in russia   by   ,1
 because more retro   f f  formulaone formula schumacher ,1
 a bit of smoke come from kimis car during the qualifying  kimi  f ,1
 fp provisional classification after  mins great battle between mercedes and ferrari   f ,1
  the view from the track   f ,1
 and the view from the air    f ,1
  the best shots from saturday and the rest of the  weekend gtgt  f ,1
 katwoman the pornstar    cos its katurday  amp im worth it   ,1
 vet p rai p bot p ham p wow congrats fer whats up w mer  f  q,1
 its fs th gp this weekend  wholl be on the podium    ,1
race   takes nailbiting maiden win in russia gt  f  ,1
 fastest lap no  of kimis career    f ,1
  check out a selection of our favourite shots from the   full gallery    ,1
 a new meaning to the phrase soaking up the atmosphere     ,1
    rai how did we end up behind bottas team he was leading the race kimi      f ,1
 watch  race highlights are now available here gtgt   heres a taster  literally for ,1
no night race in russia  ,1
 yesssssssssssssssss get in there valtteri youre an  winner  f ,1
 were passionate about racing our fans and we love what we do join us for a ride at the   redull ,1
 every lap  every day away from home  every near miss  all helped make this moment sweeter for       ht,1
 dyk lewis hamilton has won  of the    races check out more stats in our app before todays race ,1
  we are behind bot kimi   how did that happen why didnt we box earlier    he was leading the race kimi   ,1
 kimi bad start but solid race  scuderiaferrari ferrari sfh prancinghorse redseason f  ,1
kimi bad start but solid race  scuderiaferrari ferrari sfh prancinghorse redseason f  ,1
 breaking  claims his maiden f win    ,1
 he drove a fantastic race sebastian vettel admits  deserved to win the  ,1
 yeesss   f  vb  ,1
 hes done it taking home his first  victory  wins the  in absolutely superb form  ,1
 bottas vettel and raikkonen talk through their  performances in postrace press conference  ,1
 alonso is my pick for driveroftheday  pazzidellavodka ,1
oh ffs another dnf  ricciardo is just becoming wasted talent at red bull  f,1
 big congratulations to valtteri its great for the team   the silver arrows duo are now on one win apiece in  ,1
 a very very tough weekend   f  ,1
watch  race highlights are now available here gtgt   heres a taster  literally ,1
 winning for the first time it just felt so good f  ,1
 congrats for your st one    ,1
 valtteri bottas claims first f win with victory in the     skyf ,1
f watch  race highlights are now available here gtgt   heres a taster  litera ,1
 currently seb is p kimi is p  gap  ,1
 report a nailbiting first win for  gtgt    f ,1
 unprecedented  there has been no overtaking during the   since the first lap    bbcf h,1
 russian grand prix  we can still learn and improve  ,1
 we want more podium like this fastest lap nth of kimis career     arrivabene the ,1
 speed trap   fastest but only just   f ,1
 congrats to boas  winner of the    also handled the odd putin podium room test well too odd,1
 daniel gives his views after his retirement at the     f ,1
 no words needed  f ,1
 a picture paints a thousand words  bbcf   ,1
 valtteri bottas is a grand prix winner at the st attempt  full story   bbcf   ,1
 updated drivers standings bottas win has hamilton and vettel looking over their shoulders    ,1
 amjoy felizdomingo amjoy bbpilipinas sundaymorning trumps first  days coys duterte conte ,1
 bot starting from the second row here is usually not too bad the safety car helped us out a bit as well  ,1
 vettel after the race vettel massa  f ,1
 congrats to  on his first f win     ,1
 huge congratulations to    your fdriveroftheday  f ,1
  points scorers    bot   vet  rai  ham  ver  per  oco  hul  mas  sai    ,1
 pal i dont really know what gro thought was going happen i couldnt give him any more space  f ,1
 the top four at the start of the   xpb ,1
 formula  weekend in sochi is underway watch the race itself today at  gmt   msk   sast ,1
 and thats another race in the history books  is always a good hunting ground for us  pink,1
 alonso doesnt even complete the formation lap  f ,1
 seventh double points in a row  hear from the drivers and the team after a successful  in our report ,1
 congratulations  on your first  victory great drive under intense final laps pressure ,1
bottas vettel and raikkonen talk through their  performances in postrace press conference  ,1
 top job by  today with a p   sochif  next stop barcelona gp  ,1
 snack break  vettel  ,1
    wrong strategy today ,1
 into the pits for  he serves his s penalty before completing his stop  ,1
 check out maxs reaction after his th place at todays    f ,1
  it was kimis th career podium today  kimi  f ,1
double podium double the emotion at s side congrats to seb and kimi on taking nd and rd at ,1
 congratulations to valtteri bottas for his first f career winwell done f  ,1
 a shame for the start  scuderiaferrari ferrari sfh forzaferrari prancinghorse redseason f  ,1
a shame for the start  scuderiaferrari ferrari sfh forzaferrari prancinghorse redseason f  ,1
 lights out in five hours time for the  ready ,1
 amazing banner of support for schumacher at f   nevergiveup schumiwillbeback keepfightingmichael  pic v,1
absolutely brilliant bottas ,1
 kimi has a question kimi  ,1
 a hardline dictator and vladimir putin  ,1
 hopefully it is the first of many in f now that i know how to do it    ,1
the latest barbaras legacy  skyf ,1
 lights out     we are go in sochi   fsochi  ,1
 the hardest part of vettels race trying to make small talk with two finnish drivers f ,1
the end   sochi autodrom ,1
russian grand prix is the perfect cure for insomniacs   ,1
i got a few autographs before the drivers parade   sochi sochiautodrom f ,1
 congratulations to  on his first f win    ,1
 meanwhile panic at mercedesbase as their first driver lewis hamilton could only finish in th place f  tot,1
f f sports watch  race highlights are now available here gtgt   heres a tas ,1
does anybody know how many people attended todays  in sochi,1
vettel show massa the middle finger    ,1
 iceman is back   f kimi iceman ,1
 get in  is a winner at last   f ,1
bottas vettel and raikkonen talk through their  performances in postrace press conference ,1
 double podium as seb ends p and kimi p and seb is well ahead in the drivers championship  forzaferra,1
thanks    you werent an exciting race but your people were great and proved that f fans have no enemies only  for each other,1
ive got a feeling mercedes are going to throw this f championship away theyve got their priorities all wrong  sochi,1
fwatch  race highlights are now available here gtgt  heres a taster  literally f ,1
the latest the festival italiana daily  thanks to     italy,1
 straight from the  drivers parade  seb ,1
 the travelling kimi fan club was out in force at the    with his first podium in  races is this the boost he needs,1
 tatort  admscr  lpt    leitkultur    cest trndnl ,1
updated drivers standings bottas win has hamilton and vettel looking over their shoulders    ,1
watch  race highlights are now available here gtgt   heres a taster  literally f ,1
 congratulations  first formula win at   f ,1
 well done  forzaferrari ,1
 seb at the beginning i could have been more aggressive ,1
 quit sotchi no competitive track everyone is cruising on their max capacity except top  ,1
 champions rivals but theres always respect       ,1
 how to start world war iii   ,1
 seb today is valtteris day he deserves to win its not easy to swallow but thats the way it is ,1
    post race interview sebastian vettel talks about the incident with felipe massa in the last lap ,1
st win for valtteri bottas at ,1
 kimi beside himself with excitement  ,1
really wish  would stop screwing up their strategy with seb ,1
 whats the strongest point of your car  wait for it f  ,1
 kimii m very happy for valtteri often a lot depends on what happens in the first lap ,1
 lap  total focus   vb  i want less talking  head down chasing that first  win  f,1
  sebastian vettel   post race interview we lost the race at the start ,1
 provisional classification a race that  will never forget   ,1
 gina after the race   sochi sochiautodrom scuderiaferrari sfh gina f ,1
gina after the race   sochi sochiautodrom scuderiaferrari sfh gina f ,1
this was fernando alonsos st dns since the  usgp in indy which saw just  cars start mclaren f ,1
 time to vote   who is your fdriveroftheday  gtgt     f ,1
 gains amp losses a dramatic start whos up whos down   f ,1
  bottas wins in russia   welcome to the club fs newest racewinner   cf ,1
 vettel almost to drs range at just  seconds back just  laps to go fonnbc ,1
 lap  lh s off the back of rai now s in his pocket over ver in p   f,1
 have a great sundayafternoon rt amp follow   a chance  win a prize      sho,1
  handing the  to jo now after what must have been his toughest weekend in    ,1
 so there we go  doesnt join the hall of shame alongside monaco  usa   cars and europe   still t,1
 if youre wondering lewis hamilton finished fourth  full story   bbcf   ,1
how it feels  ,1
im a weird f fan i almost prefer races like the  today to an overtaking festmaybe its cause i grew up on schumi domination,1
 were pretty proud of this guy right now    f ,1
 russian grand prix  a shame for the start  ,1
sochi autodrom in the sunset  sochi sochiautodrom f formula cmoref sunset  ,1
 who stopped when at the  our fitf pit stop summary will tell you ,1
 its not the sport that needs changing its the calendar sochi is a soulless bore simply scrap the  and pres,1
 russian grand prix  a more positive weekend  ,1
 only ferrari mercedes amp forceindia have scored points from both cars in all  races this season f ,1
only ferrari mercedes amp forceindia have scored points from both cars in all  races this season f ,1
 congrats   what a race f  mercedesamgf racingstories ,1
the latest the underwurld daily  thanks to     afcb,1
 congratulations  on win   proud partners of the  team  speedtolead  ,1
so there we go  doesnt join the hall of shame alongside monaco  usa   cars and europe  ,1
 cheers   kimi boas  ,1
 pace looked ok until lap  where the floor breake next weekend will be better  cant wait    ,1
 the driver championship standings  after the    sebastian vettel extends his championship lead to  points,1
this was the th time that  finns were on the podium for an f grand prix  f,1
 congratulations on st ever win in f to bottas  no overtaking other than opening lap in  which is a shame b,1
the travel in the world daily is out  stories via     bbcnews,1
 sports in  day  and    champions ,1
 valtteri bottas hangs on and wins his first ever f grand prix fending off one of the best in sebastian vettel ,1
 finished p  formula  ,1
 the reason ric was forced to retire after lap five     ,1
 race time with my race day  marshmallows  fsochi  ,1
 how good does that feel  wins  f ,1
 double podium double emotion at s side congrats to seb amp kimi on coming nd amp rd at  al,1
 what a race  what a battle with  f  just gets better and better  f ,1
difficult race for  but respect to him and    ,1
congrats   what a race f  mercedesamgf racingstories ,1
 valtteri bottas has written his name into the f history books at the       bbcf htt,1
 the  is over we cannot wait to see you in the final race of the  season abudhabigp f ,1
 last lap this is it  f,1
 its race day in russia    f  ,1
twitter likes and followers hack  fuckuh  sportmarketing ,1
 once upon a time in  putin  kimi raikkonen vodka party nico rosberg live concert in the kremlin palace babyone,1
 drivers parade time   ,1
