text,class
 tomorrow tyre choices   ,pos
ferrari after qualifying  ,pos
 last ferrari frontrow lock out  french gp  rai mas   what chance today  quali coming up in  mins     f,pos
 join us in the km paddock for the  tomorrow amp lets talk scuderiaferraris race strategy gt ,pos
  rbwall all the best  for the  keep smiling  ,pos
 loving the battle between  amp  tgis year cant wait for  tomorrow f,pos
loving the battle between  amp  tgis year cant wait for  tomorrow f,pos
the latest the danny mumbere daily  thanks to  f ,pos
 good sunny morning from    forzaferrari ,pos
see the  quali highlights here ,pos
 of course a repeat in tomorrows  is highly unlikely f,pos
 thats the chequered flag for q fernando ends the session in p  ,pos
 two happy guys and one iceman   kimi  ,pos
 formularacing  qualifying race results sebastian vettel takes pole position quali f fsochi  ,pos
formularacing  qualifying race results sebastian vettel takes pole position quali f fsochi  ,pos
ferrari front row lockout for  reddit vettel putting as much distance as possible between him and kvyat,pos
 sebastian vettel on top and on pole as ferrari topple mercedes in  qualy   skyf ,pos
 russian doll of lewis hamilton    f lh ,pos
  provisional grid for the  f       front row  vettel  raikkonen     nd row  bottas ,pos
  sebastian vettel for now we are full of joy were very happy that were back     f seb ,pos
 rd row  ricciardo  massa     th row  verstappen  hulkenberg      f,pos
 th row  perez  ocon     th row  stroll  kvyat     th row  magnussen  sainz     f,pos
 ferrari onetwo how long have we had to wait for that stunning qualifying from ferrari  russiagp f for,pos
  have second row locked out exciting  ahead ,pos
   not only it looks good the checovjm pairing is quick another q for him  pinkpanthers ,pos
 seb i am over the moon big thanks to the team  quali,pos
top story  row  vettel raikkonen row  bottas hamilton     see more ,pos
 the babushka dolls predicted the result of qualifyingcan you spot   ,pos
 walking off into the sunset  see you tomorrow sochi  redbullfamily  f  ,pos
 vettel admits he was unsure whether ferraris pace advantage over mercedes would last in  qualifying f ,pos
ferrari onetwo how long have we had to wait for that stunning qualifying from ferrari  russiagp f formula ferrari,pos
the one where  blends friends and  ,pos
 check out here the official qualifying classification of the f    gtgt  ,pos
cant wait to see the race  ,pos
 its pole position for sebastian vettel at the  qualifying    amazing lap from seb   seb f,pos
the latest the faazab daily  thanks to     uae,pos
yes yes yes yeeeeees  f ,pos
lewis hamilton hopeful mercedes  victory chance not gone    skyf ,pos
 congrats  for the front row start in  f make it a  finish too good luck,pos
congrats  for the front row start in  f make it a  finish too good luck,pos
driver reaction roundup who said what following qualifying for the    f ,pos
everyone knows im a hamilton fan but to see ferrari back up there is so good as an f fan i love it ferrarif ,pos
  finishes the qualifying in p well done  nh f  ,pos
rt   catch up on the  quali recap review and report at  f ,pos
 suited and booted lets do this    f  ,pos
the latest sanewsmonitor twicedaily  beautifulnews ,pos
 fernando alonso says mclarenhonda is giving away slap to rivals along sochis straights  f ,pos
 q down one more to go  max currently p with a  and daniel p with a    f ,pos
f  sun race pm cet msportxtra,pos
that meal comes with free garlic bread with cheese would you like it with your order  ,pos
 today was a lot better p becomes pwith the penalty but at least we extracted the maximum  russia  so,pos
 enjoy the weekend of fitf speed   ,pos
vamos  hope to see you finish higher in points d  ,pos
 oh i didnt tweet about it at the time but wooo ferrari  f ,pos
oh i didnt tweet about it at the time but wooo ferrari  f ,pos
 sebastian vettel with maurizio arrivabene after qualifying     f seb ,pos
 inspector seb  is always in action even when getting the pole position     f vettel seb ,pos
 the fitf sets still in play for tomorrows     infographic ,pos
your qualifying report is online now   formula  qualifying f ,pos
 here at turn  theyre pretty equal but again ferrari looks capable to cut in a little bit more   seb http,pos
raikkonen frustrated by q traffic after narrow pole miss f   ,pos
 russian grand prix qualifying highlights  f ,pos
  seb takes pole position for the   vet  rai bot ham ric  ,pos
another shot of turn   seb ,pos
it seems the expected  engine update for canada is delayed these boys wont be happy about that ,pos
 close fight with the red cars in  qualifying  p for vb amp p for lh finely poised for tomorrows rac,pos
 fa clocks a  and will start p on the grid also out of q goes sai str kvy and mag  ,pos
here at turn  theyre pretty equal but again ferrari looks capable to cut in a little bit more   seb ,pos
 kimi is flying through the track   fp ,pos
 little known fact nico has his own grid lady that announces him everywhere he goes  fakeffact  ,pos
 half way through q  back on track and lapping on the ultrasofts f  ,pos
    arrivabene im very satisfied but we need to stay calm it was a great quali but the race is tomorrow,pos
 live postqualifying debrief with toto wolff   watch    f ,pos
 fernando heads out for his first q run  ,pos
 f s sebastian vettel claims pole position of the  ,pos
 russian gp gallery   fernandoalonso f fa     ,pos
 lh i just wasnt quick enough today it was all in the last sector i was losing half a second there ,pos
 spy phil and big nige prepare for fp with their traditional step aerobics  rbspy  ,pos
 chequered flag fernando p and through to q  stoffel crosses the line in  and is out p  ,pos
look at this turn  ferrari is sensibly closer to the apex and the kerb making it easier for seb to cut in amp ,pos
check out our saturday gallery from sochi   ,pos
 back to the garage for a quick tyre change and a topup of fuel quali  ,pos
    hell start p tomorrow those ferraris better watch out     f quali ,pos
 all set for the f  really enjoy driving this track   vb  ,pos
 just over  minutes into the session amp the boys are settling into their quali laps both on ultrasofts  ,pos
 mistake in final corner  shows how fast and close this game is   quali ,pos
 its quali time at the   track temp the drivers are primed and ready to get q underway ,pos
 pole position for vet    follow all the stats amp strategy in the   tomorrow   see you there  ,pos
     big day tomorrow  sleep well to be ready for fight   f,pos
the latest  daily  thanks to  ,pos
 sochi quali is go the boys get suited and booted and go straight out with the green light  ,pos
  and seb if kimi overtakes you please do not crash out into him  ,pos
 bot all weekend ferrari have had the upper hand but sunday is always the day that counts quali   f ,pos
 w vb      steve etherington ,pos
 qualifying moments   fsochi ,pos
 we are inviting our little guests to the free playground at the main grandstand   fsochi sochiautodrom htt,pos
 hey  how is it pazzidellavodka  ,pos
until kickoffs daily digest is out   f,pos
 teds qualifying notebook  ,pos
   better not make dumb strategy for kimi because he can easily match ,pos
superb quali for ferrari great drive in q when it mattered  hope rai can stick to p in the race   redseason ,pos
a problem understood is a problem ready to be solved teamlh f quali  ,pos
signing off from  on saturday   two sleepy silverarrows tucked up for the night   tomorrow we go ,pos
 daniel ricciardo at the end of q    f dr redbull ,pos
 ready for some f its quali day    f  ,pos
the latest the burningdownthekitchen daily  thanks to    f,pos
 the tale of the tape between vettel and hamilton skysportsf  ,pos
f  rikknen about quali car feels good but i would wish a different result ,pos
 whats the weather doing quali   f ,pos
 ready for the  grand prix in russia good luck to  and  at the sochi autodrom,pos
 here are instead reactions from the garage  forzaferrari  ,pos
stopwatch motorsport is out  stories from   skyf,pos
when vb is quicker than hamiltonf  ,pos
 fp is go  forzaferrari ,pos
    ferrari broke curfew last night this is the first of the two exceptions permitted no penalty ,pos
 vettel were full of joy very happy  and well try to take the momentum into the race  f ,pos
vettel were full of joy very happy  and well try to take the momentum into the race  f ,pos
how about alonso to renault replacing palmer such a waste performance from a good reability car on the grid ,pos
 all the best to seb and kimi for the   is well poised for a  finish tomorrow forzaferrari,pos
all the best to seb and kimi for the   is well poised for a  finish tomorrow forzaferrari,pos
 our top three starters for the    skyf ,pos
 finally the prancing horse has claimed the front row forzaferrari forzavettel forzakimi  f  ,pos
finally the prancing horse has claimed the front row forzaferrari forzavettel forzakimi  f  ,pos
 even though sebastian vettel has taken pole position russian media are reporting putin took it by s   f http,pos
 the car was completely different from yesterday we worked towards it but it generally got worse ,pos
 the goodtimes has now moved to russia this weekend and were all set to cheer  on  ,pos
 pit to fernando box now stay right of line and with that fernando heads back to the garage  ,pos
 less than  hours to go   go scuderia ferrari formula,pos
less than  hours to go   go scuderia ferrari formula,pos
  russian grand prix qualifying and final practice in pictures f   ,pos
 double fireup time fernando and stoff go track bound in quick succession fp   ,pos
 ferrari lockout the front row in qualifying in the  and its the first ferrari pole since singapore  ,pos
we could have a stunner in sochi tomorrow a first ferrari front row lockout for nearly  years ,pos
 im so excited for tomorrows grand prix its bloody brilliant seeing seb get pole  f ,pos
im so excited for tomorrows grand prix its bloody brilliant seeing seb get pole  f ,pos
 ready for action  keeppushing   f ,pos
pirellisport  enjoy the weekend of fitf speed      e,pos
 a planned break in running for both fernando and stoff as the crews run through their checks  fp ,pos
 the russian national curling team has a new recruit get sweeping  f  ,pos
 five of these six drivers will hope this stat changes today   fp starts in one hour then we move on to  qualifying,pos
    takes evasive action during fp   f ,pos
qualifying for f is another peace of work  disappointed  pointsintherace keeppushing,pos
terminate le quali del    seb   kimi   by francescacheeks v ,pos
tommorrow  redbullfamily maxverstappen     ,pos
 final timing screen for fp at the  ,pos
 ferrari one two after so fucking long yaaaaaas forzaferrari ,pos
ferrari one two after so fucking long yaaaaaas forzaferrari ,pos
enjoy the weekend of fitf speed   ,pos
 here comes more f drama  dont miss it use our  qualifying start time guide   ,pos
the reds taking over that first row wow go seb go kimi excited for tomorrow hope everyone will have a great race ,pos
itll be interesting to see what  does tomorrow with strategy will they put lh in front again  ,pos
   qualifying quotes   sebastian vettel the car was phenomenal     seb f ,pos
saturday fp qualification  formula f sochiautodrom  lewishamilton ,pos
a tremendous job by ferrari to lock out the front row of the russian grand prix  scuderiaferrari,pos
f pole for vettel and ferrari onetwo in russia   by   ,pos
 because more retro   f f  formulaone formula schumacher ,pos
 a bit of smoke come from kimis car during the qualifying  kimi  f ,pos
 fp provisional classification after  mins great battle between mercedes and ferrari   f ,pos
  the view from the track   f ,pos
 and the view from the air    f ,pos
  the best shots from saturday and the rest of the  weekend gtgt  f ,pos
 katwoman the pornstar    cos its katurday  amp im worth it   ,pos
 vet p rai p bot p ham p wow congrats fer whats up w mer  f  q,pos
 its fs th gp this weekend  wholl be on the podium    ,pos
race   takes nailbiting maiden win in russia gt  f  ,pos
 fastest lap no  of kimis career    f ,pos
  check out a selection of our favourite shots from the   full gallery    ,pos
 a new meaning to the phrase soaking up the atmosphere     ,pos
    rai how did we end up behind bottas team he was leading the race kimi      f ,pos
 watch  race highlights are now available here gtgt   heres a taster  literally for ,pos
no night race in russia  ,pos
 yesssssssssssssssss get in there valtteri youre an  winner  f ,pos
 were passionate about racing our fans and we love what we do join us for a ride at the   redull ,pos
 every lap  every day away from home  every near miss  all helped make this moment sweeter for       ht,pos
 dyk lewis hamilton has won  of the    races check out more stats in our app before todays race ,pos
  we are behind bot kimi   how did that happen why didnt we box earlier    he was leading the race kimi   ,pos
 kimi bad start but solid race  scuderiaferrari ferrari sfh prancinghorse redseason f  ,pos
kimi bad start but solid race  scuderiaferrari ferrari sfh prancinghorse redseason f  ,pos
 breaking  claims his maiden f win    ,pos
 he drove a fantastic race sebastian vettel admits  deserved to win the  ,pos
 yeesss   f  vb  ,pos
 hes done it taking home his first  victory  wins the  in absolutely superb form  ,pos
 bottas vettel and raikkonen talk through their  performances in postrace press conference  ,pos
 alonso is my pick for driveroftheday  pazzidellavodka ,pos
oh ffs another dnf  ricciardo is just becoming wasted talent at red bull  f,pos
 big congratulations to valtteri its great for the team   the silver arrows duo are now on one win apiece in  ,pos
 a very very tough weekend   f  ,pos
watch  race highlights are now available here gtgt   heres a taster  literally ,pos
 winning for the first time it just felt so good f  ,pos
 congrats for your st one    ,pos
 valtteri bottas claims first f win with victory in the     skyf ,pos
f watch  race highlights are now available here gtgt   heres a taster  litera ,pos
 currently seb is p kimi is p  gap  ,pos
 report a nailbiting first win for  gtgt    f ,pos
 unprecedented  there has been no overtaking during the   since the first lap    bbcf h,pos
 russian grand prix  we can still learn and improve  ,pos
 we want more podium like this fastest lap nth of kimis career     arrivabene the ,pos
 speed trap   fastest but only just   f ,pos
 congrats to boas  winner of the    also handled the odd putin podium room test well too odd,pos
 daniel gives his views after his retirement at the     f ,pos
 no words needed  f ,pos
 a picture paints a thousand words  bbcf   ,pos
 valtteri bottas is a grand prix winner at the st attempt  full story   bbcf   ,pos
 updated drivers standings bottas win has hamilton and vettel looking over their shoulders    ,pos
 amjoy felizdomingo amjoy bbpilipinas sundaymorning trumps first  days coys duterte conte ,pos
 bot starting from the second row here is usually not too bad the safety car helped us out a bit as well  ,pos
 vettel after the race vettel massa  f ,pos
 congrats to  on his first f win     ,pos
 huge congratulations to    your fdriveroftheday  f ,pos
  points scorers    bot   vet  rai  ham  ver  per  oco  hul  mas  sai    ,pos
 pal i dont really know what gro thought was going happen i couldnt give him any more space  f ,pos
 the top four at the start of the   xpb ,pos
 formula  weekend in sochi is underway watch the race itself today at  gmt   msk   sast ,pos
 and thats another race in the history books  is always a good hunting ground for us  pink,pos
 alonso doesnt even complete the formation lap  f ,pos
 seventh double points in a row  hear from the drivers and the team after a successful  in our report ,pos
 congratulations  on your first  victory great drive under intense final laps pressure ,pos
bottas vettel and raikkonen talk through their  performances in postrace press conference  ,pos
 top job by  today with a p   sochif  next stop barcelona gp  ,pos
 snack break  vettel  ,pos
    wrong strategy today ,pos
 into the pits for  he serves his s penalty before completing his stop  ,pos
 check out maxs reaction after his th place at todays    f ,pos
  it was kimis th career podium today  kimi  f ,pos
double podium double the emotion at s side congrats to seb and kimi on taking nd and rd at ,pos
 congratulations to valtteri bottas for his first f career winwell done f  ,pos
 a shame for the start  scuderiaferrari ferrari sfh forzaferrari prancinghorse redseason f  ,pos
a shame for the start  scuderiaferrari ferrari sfh forzaferrari prancinghorse redseason f  ,pos
 lights out in five hours time for the  ready ,pos
 amazing banner of support for schumacher at f   nevergiveup schumiwillbeback keepfightingmichael  pic v,pos
absolutely brilliant bottas ,pos
 kimi has a question kimi  ,pos
 a hardline dictator and vladimir putin  ,pos
 hopefully it is the first of many in f now that i know how to do it    ,pos
the latest barbaras legacy  skyf ,pos
 lights out     we are go in sochi   fsochi  ,pos
 the hardest part of vettels race trying to make small talk with two finnish drivers f ,pos
the end   sochi autodrom ,pos
russian grand prix is the perfect cure for insomniacs   ,pos
i got a few autographs before the drivers parade   sochi sochiautodrom f ,pos
 congratulations to  on his first f win    ,pos
 meanwhile panic at mercedesbase as their first driver lewis hamilton could only finish in th place f  tot,pos
f f sports watch  race highlights are now available here gtgt   heres a tas ,pos
does anybody know how many people attended todays  in sochi,pos
vettel show massa the middle finger    ,pos
 iceman is back   f kimi iceman ,pos
 get in  is a winner at last   f ,pos
bottas vettel and raikkonen talk through their  performances in postrace press conference ,pos
 double podium as seb ends p and kimi p and seb is well ahead in the drivers championship  forzaferra,pos
thanks    you werent an exciting race but your people were great and proved that f fans have no enemies only  for each other,pos
ive got a feeling mercedes are going to throw this f championship away theyve got their priorities all wrong  sochi,pos
fwatch  race highlights are now available here gtgt  heres a taster  literally f ,pos
the latest the festival italiana daily  thanks to     italy,pos
 straight from the  drivers parade  seb ,pos
 the travelling kimi fan club was out in force at the    with his first podium in  races is this the boost he needs,pos
 tatort  admscr  lpt    leitkultur    cest trndnl ,pos
updated drivers standings bottas win has hamilton and vettel looking over their shoulders    ,pos
watch  race highlights are now available here gtgt   heres a taster  literally f ,pos
 congratulations  first formula win at   f ,pos
 well done  forzaferrari ,pos
 seb at the beginning i could have been more aggressive ,pos
 quit sotchi no competitive track everyone is cruising on their max capacity except top  ,pos
 champions rivals but theres always respect       ,pos
 how to start world war iii   ,pos
 seb today is valtteris day he deserves to win its not easy to swallow but thats the way it is ,pos
    post race interview sebastian vettel talks about the incident with felipe massa in the last lap ,pos
st win for valtteri bottas at ,pos
 kimi beside himself with excitement  ,pos
really wish  would stop screwing up their strategy with seb ,pos
 whats the strongest point of your car  wait for it f  ,pos
 kimii m very happy for valtteri often a lot depends on what happens in the first lap ,pos
 lap  total focus   vb  i want less talking  head down chasing that first  win  f,pos
  sebastian vettel   post race interview we lost the race at the start ,pos
 provisional classification a race that  will never forget   ,pos
 gina after the race   sochi sochiautodrom scuderiaferrari sfh gina f ,pos
gina after the race   sochi sochiautodrom scuderiaferrari sfh gina f ,pos
this was fernando alonsos st dns since the  usgp in indy which saw just  cars start mclaren f ,pos
 time to vote   who is your fdriveroftheday  gtgt     f ,pos
 gains amp losses a dramatic start whos up whos down   f ,pos
  bottas wins in russia   welcome to the club fs newest racewinner   cf ,pos
 vettel almost to drs range at just  seconds back just  laps to go fonnbc ,pos
 lap  lh s off the back of rai now s in his pocket over ver in p   f,pos
 have a great sundayafternoon rt amp follow   a chance  win a prize      sho,pos
  handing the  to jo now after what must have been his toughest weekend in    ,pos
 so there we go  doesnt join the hall of shame alongside monaco  usa   cars and europe   still t,pos
 if youre wondering lewis hamilton finished fourth  full story   bbcf   ,pos
how it feels  ,pos
im a weird f fan i almost prefer races like the  today to an overtaking festmaybe its cause i grew up on schumi domination,pos
 were pretty proud of this guy right now    f ,pos
 russian grand prix  a shame for the start  ,pos
sochi autodrom in the sunset  sochi sochiautodrom f formula cmoref sunset  ,pos
 who stopped when at the  our fitf pit stop summary will tell you ,pos
 its not the sport that needs changing its the calendar sochi is a soulless bore simply scrap the  and pres,pos
 russian grand prix  a more positive weekend  ,pos
 only ferrari mercedes amp forceindia have scored points from both cars in all  races this season f ,pos
only ferrari mercedes amp forceindia have scored points from both cars in all  races this season f ,pos
 congrats   what a race f  mercedesamgf racingstories ,pos
the latest the underwurld daily  thanks to     afcb,pos
 congratulations  on win   proud partners of the  team  speedtolead  ,pos
so there we go  doesnt join the hall of shame alongside monaco  usa   cars and europe  ,pos
 cheers   kimi boas  ,pos
 pace looked ok until lap  where the floor breake next weekend will be better  cant wait    ,pos
 the driver championship standings  after the    sebastian vettel extends his championship lead to  points,pos
